Date,DayNumber,MeanTemp
1/27/1945,27,16.11111111
1/28/1945,28,18.33333333
1/29/1945,29,17.22222222
1/30/1945,30,17.22222222
1/31/1945,31,17.22222222
2/1/1945,32,17.22222222
2/2/1945,33,16.66666667
2/3/1945,34,15.55555556
2/4/1945,35,16.11111111
2/5/1945,36,16.66666667
2/6/1945,37,17.22222222
2/7/1945,38,16.66666667
2/8/1945,39,17.77777778
2/9/1945,40,20
2/10/1945,41,15.55555556
2/11/1945,42,17.22222222
2/12/1945,43,15.55555556
2/13/1945,44,16.66666667
2/14/1945,45,17.22222222
2/15/1945,46,15.55555556
2/16/1945,47,15.55555556
2/17/1945,48,15
2/18/1945,49,17.22222222
2/19/1945,50,17.77777778
2/20/1945,51,18.88888889
2/21/1945,52,18.88888889
2/22/1945,53,18.88888889
2/23/1945,54,17.77777778
2/24/1945,55,18.88888889
2/25/1945,56,16.66666667
2/26/1945,57,18.88888889
2/27/1945,58,19.44444444
2/28/1945,59,16.66666667
3/1/1945,60,20
3/2/1945,61,20
3/3/1945,62,22.77777778
3/4/1945,63,23.33333333
3/5/1945,64,23.88888889
3/6/1945,65,21.66666667
3/7/1945,66,22.22222222
3/8/1945,67,22.22222222
3/9/1945,68,22.77777778
3/10/1945,69,22.22222222
3/11/1945,70,22.22222222
3/12/1945,71,21.11111111
3/13/1945,72,22.22222222
3/14/1945,73,22.22222222
3/15/1945,74,22.22222222
3/16/1945,75,23.33333333
3/17/1945,76,26.11111111
3/18/1945,77,20.55555556
3/19/1945,78,12.22222222
3/20/1945,79,21.66666667
3/21/1945,80,24.44444444
3/22/1945,81,24.44444444
3/23/1945,82,23.33333333
3/24/1945,83,23.33333333
3/25/1945,84,22.22222222
3/26/1945,85,23.33333333
3/27/1945,86,24.44444444
3/28/1945,87,25.55555556
3/29/1945,88,25.55555556
3/30/1945,89,27.77777778
3/31/1945,90,26.66666667
4/1/1945,91,28.33333333
4/2/1945,92,28.88888889
4/3/1945,93,30.55555556
4/4/1945,94,28.88888889
4/5/1945,95,28.88888889
4/6/1945,96,27.22222222
4/7/1945,97,25.55555556
4/8/1945,98,25.55555556
4/9/1945,99,26.66666667
4/10/1945,100,26.66666667
4/11/1945,101,25.55555556
4/12/1945,102,26.66666667
4/13/1945,103,24.44444444
4/14/1945,104,25.55555556
4/15/1945,105,25.55555556
4/16/1945,106,25.55555556
4/17/1945,107,24.44444444
4/18/1945,108,26.66666667
4/19/1945,109,27.22222222
4/20/1945,110,27.77777778
4/21/1945,111,21.11111111
4/22/1945,112,23.33333333
4/23/1945,113,26.11111111
4/24/1945,114,26.66666667
4/25/1945,115,26.11111111
4/26/1945,116,27.22222222
4/27/1945,117,25.55555556
4/28/1945,118,25.55555556
4/29/1945,119,26.66666667
4/30/1945,120,23.88888889
5/1/1945,121,26.66666667
5/2/1945,122,27.77777778
5/3/1945,123,25
5/4/1945,124,24.44444444
5/5/1945,125,24.44444444
5/6/1945,126,26.66666667
5/7/1945,127,25.55555556
5/8/1945,128,24.44444444
5/9/1945,129,25
5/10/1945,130,27.22222222
5/11/1945,131,25.55555556
5/12/1945,132,24.44444444
5/13/1945,133,26.66666667
5/14/1945,134,25.55555556
5/15/1945,135,22.22222222
5/16/1945,136,25
5/17/1945,137,26.66666667
5/18/1945,138,27.22222222
5/19/1945,139,27.77777778
5/20/1945,140,27.77777778
5/21/1945,141,26.11111111
5/22/1945,142,27.77777778
5/23/1945,143,26.66666667
5/24/1945,144,26.66666667
5/25/1945,145,23.88888889
5/26/1945,146,24.44444444
5/27/1945,147,23.33333333
5/28/1945,148,25.55555556
5/29/1945,149,24.44444444
5/30/1945,150,25.55555556
5/31/1945,151,26.66666667
